Fri Jan  8 10:41:14 2021,Search String:,AGILIS-15863
Filename,Row,Column,Find String
HOW46149 PM Watchdog.xlsm,12,2,['AGILIS-15863'],2020-08-25 00:00:00
HOW46149 SBSC Watchdog.xlsm,12,2,['AGILIS-15863'],2020-08-25 00:00:00
HOW46149 SLC Watchdog.xlsm,12,2,['AGILIS-15863'],2020-05-19 00:00:00
HOW46149 UC Watchdog.xlsm,12,2,['AGILIS-15863'],2020-08-25 00:00:00
........................   Found Wanted String    ..............................
Wed Jan 13 14:09:53 2021,Search String:,WHAT70320|WHAT70321WHAT70322|WHAT70323|WHAT70345|WHAT70324|WHAT39877|WHAT39878|WHAT39879|WHAT39880|WHAT70325WHAT70326|WHAT70328|WHAT70329|WHAT70330|WHAT70331|WHAT70332|WHAT70333|WHAT70334
Filename,Row,Column,Find String
WHAT39879 ECO Mode - Parallel system-Alt10.xlsm,10,2,['WHAT39879'],2020-03-26 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt2.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt3.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt4.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt5a.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt5b.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt6.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt7.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt8.xlsm,10,2,['WHAT39879'],2020-03-26 00:00:00
WHAT39879 ECO Mode - Parallel system-Alt9.xlsm,10,2,['WHAT39879'],2020-03-26 00:00:00
WHAT39879 ECO Mode - Parallel system-Main and Alt1.xlsm,8,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39879 ECO Mode - Parallel system-Main and Alt1.xlsm,10,2,['WHAT39879'],2020-03-25 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt10.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt11.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt2.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt3.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt4.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt5a.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt5b.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt6.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt7.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt8.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Alt9.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39880 ECOnversion Mode - Parallel system-Main and Alt1.xlsm,10,2,['WHAT39880'],2020-03-26 00:00:00
WHAT39877 ECO Behavior Scenario-1 Remove Mains2.xlsm,10,2,['WHAT39877'],2019-09-27 00:00:00
